Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPC,6007,6,7,Banks _102,Barley,285.5,122.2,October,60,60,2.2,1.79
HTPC,1003,1,3,Banks _171,Barley,60.3,13.47,August,24,20,3.4,2.76
HTPC,2002,2,2,Banks _171,Barley,128.65,25.86,August,16,20,3.5,2.84
HTPC,2011,2,11,Banks _171,Barley,93.45,19.83,August,21,25,3.8,3.08
HTPC,1003,1,3,Banks _171,Barley,140.94,30.5,September,38,43,3.4,2.76
HTPC,2002,2,2,Banks _171,Barley,144.63,31,September,34,43,3.5,2.84
HTPC,2011,2,11,Banks _171,Barley,112.17,24.2,September,35,42,3.8,3.08
HTPC,1003,1,3,Banks _171,Barley,321,148.4,October,65,65,3.4,2.76
HTPC,2002,2,2,Banks _171,Barley,254.4,117.5,October,65,65,3.5,2.84
HTPC,2011,2,11,Banks _171,Barley,262.2,131.5,October,70,65,3.8,3.08
HTPC,1010,1,10,Banks _64,Barley,71.88,15.95,August,18,16,3.55,2.88
HTPC,4003,4,3,Banks _64,Barley,18.51,4.44,August,21,24,2.75,2.23
HTPC,1010,1,10,Banks _64,Barley,106.48,23,September,39,40,3.55,2.88
HTPC,4003,4,3,Banks _64,Barley,154.8,33.7,September,25,30,2.75,2.23
HTPC,1010,1,10,Banks _64,Barley,218.4,100.1,October,70,65,3.55,2.88
HTPC,4003,4,3,Banks _64,Barley,204.2,83.8,October,60,65,2.75,2.23
HTPM,1001,1,1,Bass_97,Barley,49.31,11.88,August,18,17,2.7,2.19
HTPM,1002,1,2,Bass_97,Barley,84.46,16.63,August,18,18,2.8,2.27
HTPM,1001,1,1,Bass_97,Barley,184.51,39.5,September,45,34,2.7,2.19
HTPM,1002,1,2,Bass_97,Barley,168.06,27.7,September,36,38,2.8,2.27
HTPM,1001,1,1,Bass_97,Barley,199,101.9,October,70,68,2.7,2.19
HTPM,1002,1,2,Bass_97,Barley,270.4,129.4,October,63,67,2.8,2.27
HTPC,4002,4,2,Buff_111,Barley,17.56,3.8,August,27,31,2.95,2.39
HTPC,5009,5,9,Buff_111,Barley,57.89,11.69,August,31,30,3.3,2.68
HTPC,4002,4,2,Buff_111,Barley,208.4,40.3,September,58,50,2.95,2.39
HTPC,5009,5,9,Buff_111,Barley,217.62,45.8,September,52,53,3.3,2.68
HTPC,4002,4,2,Buff_111,Barley,165,70,October,70,65,2.95,2.39
HTPC,5009,5,9,Buff_111,Barley,329.6,168.3,October,70,70,3.3,2.68
HTPC,1012,1,12,Buff_186,Barley,144.56,29.51,August,35,33,3.9,3.17
HTPC,3008,3,8,Buff_186,Barley,111.21,22.04,August,40,34,3.4,2.76
HTPC,4009,4,9,Buff_186,Barley,79.91,15.28,August,32,30,3.2,2.6
HTPC,5007,5,7,Buff_186,Barley,60.6,12.18,August,26,27,3,2.44
HTPC,1012,1,12,Buff_186,Barley,255.81,47.9,September,49,54,3.9,3.17
HTPC,3008,3,8,Buff_186,Barley,207.63,43.5,September,45,47,3.4,2.76
HTPC,4009,4,9,Buff_186,Barley,192.9,41.1,September,56,42,3.2,2.6
HTPC,5007,5,7,Buff_186,Barley,184.64,41.4,September,48,46,3,2.44
HTPC,1012,1,12,Buff_186,Barley,222.7,125.9,October,75,75,3.9,3.17
HTPC,3008,3,8,Buff_186,Barley,237.5,127.8,October,65,75,3.4,2.76
HTPC,4009,4,9,Buff_186,Barley,479.9,216.6,October,65,60,3.2,2.6
HTPC,5007,5,7,Buff_186,Barley,250.8,140.5,October,60,70,3,2.44
HTPC,3003,3,3,Buff_70,Barley,52.8,10.9,August,32,30,2.65,2.15
HTPC,5002,5,2,Buff_70,Barley,45.72,9.19,August,30,27,2.7,2.19
HTPC,6010,6,10,Buff_70,Barley,35.49,7.53,August,28,26,2.8,2.27
HTPC,6011,6,11,Buff_70,Barley,36.48,7.39,August,25,28,2.5,2.03
HTPC,3003,3,3,Buff_70,Barley,112.33,25.6,September,45,46,2.65,2.15
HTPC,5002,5,2,Buff_70,Barley,327.5,66,September,56,53,2.7,2.19
HTPC,6010,6,10,Buff_70,Barley,249.29,53.4,September,49,54,2.8,2.27
HTPC,6011,6,11,Buff_70,Barley,158.78,35,September,48,42,2.5,2.03
HTPC,3003,3,3,Buff_70,Barley,207.9,105.4,October,65,70,2.65,2.15
HTPC,5002,5,2,Buff_70,Barley,177.2,93.8,October,70,65,2.7,2.19
HTPC,6010,6,10,Buff_70,Barley,215.8,99.7,October,70,70,2.8,2.27
HTPC,6011,6,11,Buff_70,Barley,193.1,97.5,October,75,65,2.5,2.03
HTPM,1004,1,4,Commander_96,Barley,48.88,11.82,August,18,21,4.15,3.37
HTPM,4005,4,5,Commander_96,Barley,90.81,11.34,August,21,19,2.95,2.39
HTPM,1004,1,4,Commander_96,Barley,210.78,43,September,37,35,4.15,3.37
HTPM,4005,4,5,Commander_96,Barley,133.17,31.8,September,34,34,2.95,2.39
HTPM,1004,1,4,Commander_96,Barley,247.2,119.5,October,82,75,4.15,3.37
HTPM,4005,4,5,Commander_96,Barley,288.6,121.3,October,75,82,2.95,2.39
HTPM,4002,4,2,Compass_101,Barley,37.03,8.41,August,19,20,3.45,2.8
HTPM,6004,6,4,Compass_101,Barley,32.71,7.26,August,20,18,3.05,2.48
HTPM,4002,4,2,Compass_101,Barley,109.73,24.5,September,43,45,3.45,2.8
HTPM,6004,6,4,Compass_101,Barley,135.5,27,September,43,40,3.05,2.48
HTPM,4002,4,2,Compass_101,Barley,177.3,75.7,October,73,71,3.45,2.8
HTPM,6004,6,4,Compass_101,Barley,189.3,83.8,October,70,70,3.05,2.48
HTPM,3007,3,7,Cutlass_86,Wheat,35.54,7.07,August,30,26,3.15,2.56
HTPM,4012,4,12,Cutlass_86,Wheat,31.1,7,August,25,29,2.8,2.27
HTPM,3007,3,7,Cutlass_86,Wheat,138.6,29.2,September,47,40,3.15,2.56
HTPM,4012,4,12,Cutlass_86,Wheat,76.72,15.7,September,44,33,2.8,2.27
HTPM,3007,3,7,Cutlass_86,Wheat,238.9,107.6,October,81,81,3.15,2.56
HTPM,4012,4,12,Cutlass_86,Wheat,280.4,118.9,October,73,75,2.8,2.27
