Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPM,6002,6,2,Rosalind_88,Barley,162.3,88.1,October,54,57,2.25,1.83
HTPC,1002,1,2,Sceptre_130,Wheat,56.11,11.57,August,33,31,2.8,2.27
HTPC,1007,1,7,Sceptre_130,Wheat,59.35,12.04,August,27,31,3.4,2.76
HTPC,3009,3,9,Sceptre_130,Wheat,46.43,9.67,August,27,22,2.65,2.15
HTPC,1002,1,2,Sceptre_130,Wheat,129.46,27.7,September,51,53,2.8,2.27
HTPC,1007,1,7,Sceptre_130,Wheat,192.55,43.2,September,51,52,3.4,2.76
HTPC,3009,3,9,Sceptre_130,Wheat,95.02,21.2,September,53,50,2.65,2.15
HTPC,1002,1,2,Sceptre_130,Wheat,270.6,125.1,October,75,75,2.8,2.27
HTPC,1007,1,7,Sceptre_130,Wheat,390.2,184.4,October,80,75,3.4,2.76
HTPC,3009,3,9,Sceptre_130,Wheat,253.9,117.8,October,70,75,2.65,2.15
HTPC,4001,4,1,Sceptre_217,Wheat,40.61,9.13,August,24,28,2.15,1.75
HTPC,5008,5,8,Sceptre_217,Wheat,41.07,9,August,29,25,2.5,2.03
HTPC,6003,6,3,Sceptre_217,Wheat,47.37,9.8,August,31,28,2.9,2.35
HTPC,6012,6,12,Sceptre_217,Wheat,44.25,10.05,August,27,24,2.8,2.27
HTPC,4001,4,1,Sceptre_217,Wheat,105.69,23.5,September,39,43,2.15,1.75
HTPC,5008,5,8,Sceptre_217,Wheat,184.48,44.1,September,39,48,2.5,2.03
HTPC,6003,6,3,Sceptre_217,Wheat,132.09,29.6,September,56,49,2.9,2.35
HTPC,6012,6,12,Sceptre_217,Wheat,133.28,30.4,September,49,55,2.8,2.27
HTPC,4001,4,1,Sceptre_217,Wheat,141.5,65.4,October,70,70,2.15,1.75
HTPC,5008,5,8,Sceptre_217,Wheat,244.4,125.5,October,70,75,2.5,2.03
HTPC,6003,6,3,Sceptre_217,Wheat,181.3,93.6,October,75,75,2.9,2.35
HTPC,6012,6,12,Sceptre_217,Wheat,212.3,105,October,70,70,2.8,2.27
HTPC,3007,3,7,Sceptre_82,Wheat,31.97,6.57,August,30,38,2.5,2.03
HTPC,5011,5,11,Sceptre_82,Wheat,31.22,7.07,August,25,22,2.7,2.19
HTPC,3007,3,7,Sceptre_82,Wheat,83.9,17.8,September,46,41,2.5,2.03
HTPC,5011,5,11,Sceptre_82,Wheat,181.31,38.1,September,48,47,2.7,2.19
HTPC,3007,3,7,Sceptre_82,Wheat,173.6,86.6,October,75,75,2.5,2.03
HTPC,5011,5,11,Sceptre_82,Wheat,232.8,113.4,October,75,75,2.7,2.19
HTPM,4001,4,1,Scope CL_99,Barley,46.39,10.15,August,28,28,2.85,2.31
HTPM,4006,4,6,Scope CL_99,Barley,78.5,17.07,August,29,24,3.7,3
HTPM,4001,4,1,Scope CL_99,Barley,169.1,36.3,September,51,44,2.85,2.31
HTPM,4006,4,6,Scope CL_99,Barley,208.55,42.5,September,48,40,3.7,3
HTPM,4001,4,1,Scope CL_99,Barley,336.8,150.7,October,76,76,2.85,2.31
HTPM,4006,4,6,Scope CL_99,Barley,239.5,103.8,October,82,83,3.7,3
HTPM,2002,2,2,Spartacus CL_88,Barley,53.04,10.45,August,27,27,2.65,2.15
HTPM,5001,5,1,Spartacus CL_88,Barley,34.28,6.99,August,24,23,2.75,2.23
HTPM,2002,2,2,Spartacus CL_88,Barley,119.42,24.2,September,44,41,2.65,2.15
HTPM,5001,5,1,Spartacus CL_88,Barley,216.4,46.1,September,39,36,2.75,2.23
HTPM,2002,2,2,Spartacus CL_88,Barley,179.2,89.2,October,63,56,2.65,2.15
HTPM,5001,5,1,Spartacus CL_88,Barley,177.6,89.5,October,60,57,2.75,2.23
HTPM,1010,1,10,Vixen_96,Wheat,57.87,10.88,August,26,30,3.35,2.72
HTPM,4011,4,11,Vixen_96,Wheat,35.6,7.33,August,32,29,3.1,2.52
HTPM,1010,1,10,Vixen_96,Wheat,179.48,35.2,September,56,57,3.35,2.72
HTPM,4011,4,11,Vixen_96,Wheat,113.9,24.2,September,51,51,3.1,2.52
HTPM,1010,1,10,Vixen_96,Wheat,254.3,126.9,October,68,66,3.35,2.72
HTPM,4011,4,11,Vixen_96,Wheat,393.8,176.9,October,67,70,3.1,2.52
HTPM,5005,5,5,Westminster_94,Barley,45.81,4.95,August,17,20,2.2,1.79
HTPM,6005,6,5,Westminster_94,Barley,50.73,11.69,August,16,16,2.1,1.7
HTPM,5005,5,5,Westminster_94,Barley,120.16,27.1,September,30,39,2.2,1.79
HTPM,6005,6,5,Westminster_94,Barley,75.71,16.7,September,35,36,2.1,1.7
HTPM,5005,5,5,Westminster_94,Barley,234.1,98.2,October,82,80,2.2,1.79
HTPM,6005,6,5,Westminster_94,Barley,207.8,92.6,October,77,77,2.1,1.7
HTPC,3011,3,11,Wyalkatchem_128,Wheat,67.7,12.55,August,27,26,2.5,2.03
HTPC,4007,4,7,Wyalkatchem_128,Wheat,35.99,7.55,August,25,26,2.15,1.75
HTPC,4010,4,10,Wyalkatchem_128,Wheat,26.28,6.1,August,27,24,2.45,1.99
HTPC,3011,3,11,Wyalkatchem_128,Wheat,114.62,26.1,September,43,44,2.5,2.03
HTPC,4007,4,7,Wyalkatchem_128,Wheat,125.95,28.2,September,38,39,2.15,1.75
HTPC,4010,4,10,Wyalkatchem_128,Wheat,106.6,25.4,September,47,42,2.45,1.99
HTPC,3011,3,11,Wyalkatchem_128,Wheat,325.3,149.1,October,65,65,2.5,2.03
HTPC,4007,4,7,Wyalkatchem_128,Wheat,175.8,76.5,October,60,55,2.15,1.75
HTPC,4010,4,10,Wyalkatchem_128,Wheat,349.2,155.2,October,65,60,2.45,1.99
HTPC,2003,2,3,Wyalkatchem_213,Wheat,42.22,8.92,August,29,28,2.25,1.83
HTPC,2010,2,10,Wyalkatchem_213,Wheat,48.39,10.63,August,28,26,2.8,2.27
HTPC,4008,4,8,Wyalkatchem_213,Wheat,34.55,8.04,August,27,22,2.35,1.91
HTPC,2003,2,3,Wyalkatchem_213,Wheat,134.69,29.5,September,44,46,2.25,1.83
HTPC,2010,2,10,Wyalkatchem_213,Wheat,145.94,31.2,September,48,50,2.8,2.27
HTPC,4008,4,8,Wyalkatchem_213,Wheat,110.4,25.8,September,37,34,2.35,1.91
HTPC,2003,2,3,Wyalkatchem_213,Wheat,205.8,101.7,October,65,65,2.25,1.83
HTPC,2010,2,10,Wyalkatchem_213,Wheat,205.3,91.1,October,70,65,2.8,2.27
HTPC,4008,4,8,Wyalkatchem_213,Wheat,219,98.4,October,60,60,2.35,1.91
HTPC,2001,2,1,Wyalkatchem_80,Wheat,44.82,9.25,August,27,25,2.4,1.95
HTPC,4011,4,11,Wyalkatchem_80,Wheat,23.28,5.33,August,23,24,2.25,1.83
HTPC,6008,6,8,Wyalkatchem_80,Wheat,25.73,6.64,August,25,22,2.1,1.7
HTPC,2001,2,1,Wyalkatchem_80,Wheat,109.67,22.6,September,50,39,2.4,1.95
HTPC,4011,4,11,Wyalkatchem_80,Wheat,104,23.1,September,39,43,2.25,1.83
HTPC,6008,6,8,Wyalkatchem_80,Wheat,83.07,18.7,September,41,39,2.1,1.7
HTPC,2001,2,1,Wyalkatchem_80,Wheat,242,105.8,October,65,60,2.4,1.95
HTPC,4011,4,11,Wyalkatchem_80,Wheat,198.3,91.1,October,60,65,2.25,1.83
HTPC,6008,6,8,Wyalkatchem_80,Wheat,182.4,73.7,October,60,60,2.1,1.7
